,shooterPlayerId,shooterName,xG
93,8476432.0,Boone Jenner,20.73878602265597
587,8478047.0,Michael Bunting,20.721745207592754
348,8482089.0,Jake Neighbours,20.562427982020814
57,8478233.0,Andrew Mangiapane,20.515524826625764
435,8476981.0,Josh Anderson,20.469191052944144
640,8480018.0,Nick Suzuki,20.386323774986174
238,8481528.0,Dylan Cozens,20.375043755341952
431,8476921.0,Jordan Martinook,20.281620331776686
490,8478474.0,Lawson Crouse,20.145571709429838
727,8476483.0,Rickard Rakell,20.14230315322228
227,8481716.0,Dmitri Voronkov,20.11037755020902
629,8475760.0,Nick Bjugstad,20.105812054314168
509,8482078.0,Lucas Raymond,20.055424445584144
54,8480830.0,Andrei Svechnikov,19.97555101371845
638,8477951.0,Nick Schmaltz,19.952501089991156
189,8481580.0,Connor McMichael,19.93453595325139
548,8478975.0,Mason Marchment,19.926776042055852
734,8480023.0,Robert Thomas,19.8340529164114
634,8473422.0,Nick Foligno,19.64510341893331
607,8477425.0,Miles Wood,19.602486746672724
183,8484144.0,Connor Bedard,19.601334072123354
13,8476392.0,Adam Lowry,19.52562699578969
899,8476826.0,Yanni Gourde,19.380063170860048
74,8477476.0,Artturi Lehkonen,19.324794107957548
261,8475287.0,Erik Haula,19.32431941119239
267,8478542.0,Evan Rodrigues,19.21413032715446
140,8480069.0,Cale Makar,19.21225923962038
434,8473533.0,Jordan Staal,19.163116148619363
529,8482079.0,Marco Rossi,19.08470526463554
117,8475848.0,Brendan Gallagher,19.02033296795532
783,8476461.0,Sean Couturier,19.004911785563902
822,8482116.0,Tim Stutzle,18.969262527870008
827,8476881.0,Tomas Hertl,18.954923013533513
707,8479400.0,Pierre-Luc Dubois,18.909522891241764
67,8482113.0,Anton Lundell,18.764419002742493
61,8478519.0,Anthony Cirelli,18.695204564047362
736,8474600.0,Roman Josi,18.59826303895806
283,8480014.0,Gabriel Vilardi,18.51660271541928
307,8481624.0,Ilya Mikheyev,18.47245298908906
26,8473986.0,Alex Killorn,18.41184881919335
746,8477451.0,Ryan Hartman,18.409609866852016
295,8474679.0,Gustav Nyquist,18.35579936386703
401,8480797.0,Joel Farabee,18.31561700956612
725,8475191.0,Reilly Smith,18.299989514972044
710,8480459.0,Pius Suter,18.134253298986575
703,8476479.0,Phillip Danault,18.11742667249921
53,8483808.0,Andrei Kuzmenko,18.11122419045988
109,8476438.0,Brandon Saad,18.015422254084022
514,8482146.0,Luke Evangelista,17.840638979380405
247,8480185.0,Eetu Luostarinen,17.80575999423996
146,8474715.0,Cam Atkinson,17.60939491243457
375,8475722.0,Jason Zucker,17.58435189212249
393,8476918.0,Jimmy Vesey,17.546013314221426
312,8477964.0,Ivan Barbashev,17.53048437815409
806,8476474.0,Stefan Noesen,17.523019943052102
672,8477416.0,Oliver Bjorkstrand,17.488163110471056
166,8473512.0,Claude Giroux,17.433645976869528
489,8474189.0,Lars Eller,17.35730110861299
862,8482159.0,Tyson Foerster,17.330826722393486
847,8478873.0,Troy Terry,17.324865774568927
24,8480113.0,Alex Iafallo,17.274811532251586
661,8481535.0,Nils Hoglander,17.214854830810225
478,8480893.0,Kirill Marchenko,17.06474234038164
216,8482110.0,Dawson Mercer,16.995547942982398
423,8476456.0,Jonathan Huberdeau,16.970728598311734
27,8482155.0,Alex Laferriere,16.960998076016864
62,8477407.0,Anthony Duclair,16.870854423994658
555,8481711.0,Matias Maccelli,16.845528751365467
880,8475765.0,Vladimir Tarasenko,16.820132275167847
838,8479365.0,Trent Frederic,16.799126228856537
612,8478483.0,Mitchell Marner,16.76682950775665
541,8475913.0,Mark Stone,16.754053501958005
68,8471685.0,Anze Kopitar,16.57090583785107
569,8482720.0,Matthew Knies,16.529615100051668
175,8482705.0,Cole Sillinger,16.476899290957235
809,8471698.0,T.J. Oshie,16.433827195032897
246,8480009.0,Eeli Tolvanen,16.260300101373765
897,8478508.0,Yakov Trenin,16.19226807550566
25,8477021.0,Alex Kerfoot,16.15953190316183
647,8478462.0,Nicolas Roy,16.076518509526547
497,8483431.0,Logan Cooley,16.03249095474814
389,8480829.0,Jesperi Kotkaniemi,15.968377354277054
173,8482149.0,Cole Perfetti,15.899506031369528
904,8484145.0,Zach Benson,15.850605889501027
155,8479999.0,Casey Mittelstadt,15.792186261036356
744,8477987.0,Ryan Donato,15.786852949506294
890,8482667.0,William Eklund,15.727764499918129
421,8477494.0,Jonathan Drouin,15.679038692225415
339,8475768.0,Jaden Schwartz,15.621298623869862
316,8477456.0,J.T. Compher,15.61276577914098
549,8482745.0,Mason McTavish,15.559361934681894
817,8476882.0,Teuvo Teravainen,15.24842766375039
200,8478057.0,Dakota Joshua,15.225767272405523
705,8478115.0,Pierre Engvall,15.171721289381237
616,8479987.0,Morgan Geekie,15.137174858682325
414,8476346.0,Johnny Gaudreau,15.129361476411523
576,8482665.0,Matty Beniers,15.069220614769195
553,8478472.0,Mathieu Joseph,15.019316836884611
794,8481596.0,Shane Pinto,14.853805334872042
615,8480028.0,Morgan Frost,14.842729024189534
556,8475692.0,Mats Zuccarello,14.690125602024384
815,8479390.0,Taylor Raddysh,14.662053836161139
720,8480839.0,Rasmus Dahlin,14.651393386460171
883,8476480.0,Vladislav Namestnikov,14.598820078332432
888,8482157.0,Will Cuylle,14.495643934773588
