,shooterPlayerId,shooterName,xG2
109,8476438.0,Brandon Saad,18.928904
827,8476881.0,Tomas Hertl,18.666239
401,8480797.0,Joel Farabee,18.634998
634,8473422.0,Nick Foligno,18.57125
847,8478873.0,Troy Terry,18.484829
783,8476461.0,Sean Couturier,18.481024
806,8476474.0,Stefan Noesen,18.426296
434,8473533.0,Jordan Staal,18.396357
746,8477451.0,Ryan Hartman,18.390627
725,8475191.0,Reilly Smith,18.311405
283,8480014.0,Gabriel Vilardi,18.290777
707,8479400.0,Pierre-Luc Dubois,18.251482
710,8480459.0,Pius Suter,18.203884
247,8480185.0,Eetu Luostarinen,18.102106
514,8482146.0,Luke Evangelista,18.058104
67,8482113.0,Anton Lundell,17.870792
569,8482720.0,Matthew Knies,17.844324
26,8473986.0,Alex Killorn,17.818254
27,8482155.0,Alex Laferriere,17.711699
661,8481535.0,Nils Hoglander,17.707857
809,8471698.0,T.J. Oshie,17.671507
53,8483808.0,Andrei Kuzmenko,17.611746
62,8477407.0,Anthony Duclair,17.595922
672,8477416.0,Oliver Bjorkstrand,17.594748
117,8475848.0,Brendan Gallagher,17.594397
736,8474600.0,Roman Josi,17.588203
489,8474189.0,Lars Eller,17.452042
862,8482159.0,Tyson Foerster,17.406237
421,8477494.0,Jonathan Drouin,17.369938
216,8482110.0,Dawson Mercer,17.280697
703,8476479.0,Phillip Danault,17.253117
146,8474715.0,Cam Atkinson,17.201063
375,8475722.0,Jason Zucker,17.190374
612,8478483.0,Mitchell Marner,17.188604
24,8480113.0,Alex Iafallo,17.095499
647,8478462.0,Nicolas Roy,17.047935
175,8482705.0,Cole Sillinger,17.035107
393,8476918.0,Jimmy Vesey,16.947674
155,8479999.0,Casey Mittelstadt,16.850657
817,8476882.0,Teuvo Teravainen,16.850386
890,8482667.0,William Eklund,16.846188
423,8476456.0,Jonathan Huberdeau,16.819094
166,8473512.0,Claude Giroux,16.80568
838,8479365.0,Trent Frederic,16.774643
555,8481711.0,Matias Maccelli,16.76787
414,8476346.0,Johnny Gaudreau,16.690878
497,8483431.0,Logan Cooley,16.593227
246,8480009.0,Eeli Tolvanen,16.332375
68,8471685.0,Anze Kopitar,16.29889
316,8477456.0,J.T. Compher,16.160755
